,YEAR,MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_TIME,ELAPSED_TIME,ARRIVAL_TIME,DIVERTED,CANCELLED
253,2015,1,1,DL,421,JFK,ATL,0605,139,0824,0,0
613,2015,1,1,DL,1598,SEA,ATL,0631,287,1418,0,0
1017,2015,1,1,DL,2054,SEA,JFK,0705,290,1455,0,0
1093,2015,1,1,AA,236,SEA,JFK,0710,301,1511,0,0
1438,2015,1,1,DL,968,SEA,ATL,0745,277,1522,0,0
2040,2015,1,1,DL,485,JFK,ATL,0825,138,1043,0,0
2469,2015,1,1,DL,448,JFK,SEA,0925,364,1229,0,0
2886,2015,1,1,AS,746,SEA,ATL,0935,281,1716,0,0
3030,2015,1,1,DL,129,ATL,SEA,0947,326,1213,0,0
3175,2015,1,1,DL,2352,ATL,JFK,0949,122,1151,0,0
4318,2015,1,1,DL,1210,ATL,SEA,1102,331,1333,0,0
5128,2015,1,1,DL,282,SEA,ATL,1156,260,1916,0,0
5208,2015,1,1,DL,445,JFK,ATL,1228,127,1435,0,0
5412,2015,1,1,DL,1218,ATL,JFK,1215,119,1414,0,0
5454,2015,1,1,DL,1473,SEA,JFK,1216,288,2004,0,0
6142,2015,1,1,DL,2329,ATL,SEA,1259,323,1522,0,0
7708,2015,1,1,DL,128,SEA,ATL,1438,262,2200,0,0
8533,2015,1,1,DL,447,JFK,ATL,1551,143,1814,0,0
9229,2015,1,1,DL,478,ATL,JFK,1623,139,1842,0,0
10244,2015,1,1,DL,1419,ATL,JFK,1724,162,2006,0,0
10438,2015,1,1,B6,263,JFK,SEA,1735,376,2051,0,0
11021,2015,1,1,AS,745,ATL,SEA,1827,325,2052,0,0
11100,2015,1,1,DL,2510,JFK,ATL,1840,138,2058,0,0
11356,2015,1,1,AA,235,JFK,SEA,1908,404,2252,0,0
11629,2015,1,1,DL,443,JFK,SEA,1902,409,2251,0,0
11905,2015,1,1,DL,2635,ATL,SEA,1914,322,2136,0,0
12874,2015,1,1,DL,1876,ATL,SEA,2040,308,2248,0,0
13475,2015,1,1,B6,264,SEA,JFK,2217,280,0557,0,0
13476,2015,1,1,DL,1750,ATL,JFK,2141,138,2359,0,0
13918,2015,1,1,DL,929,SEA,ATL,2349,286,0735,0,0
14434,2015,1,2,DL,421,JFK,ATL,0554,177,0851,0,0
15126,2015,1,2,DL,1598,SEA,ATL,0628,287,1415,0,0
15811,2015,1,2,DL,568,SEA,JFK,1004,291,1755,0,0
15935,2015,1,2,AA,236,SEA,JFK,0731,295,1526,0,0
16449,2015,1,2,DL,968,SEA,ATL,0742,287,1529,0,0
16907,2015,1,2,DL,281,ATL,SEA,0810,323,1033,0,0
17260,2015,1,2,DL,465,JFK,ATL,0824,165,1109,0,0
17801,2015,1,2,DL,442,JFK,SEA,0914,387,1241,0,0
18246,2015,1,2,AS,746,SEA,ATL,1017,282,1759,0,0
18416,2015,1,2,DL,129,ATL,SEA,0940,328,1208,0,0
18493,2015,1,2,DL,108,SEA,ATL,1009,273,1742,0,0
18588,2015,1,2,DL,2352,ATL,JFK,0956,123,1159,0,0
19905,2015,1,2,DL,1284,ATL,SEA,1108,327,1335,0,0
20519,2015,1,2,DL,1473,SEA,JFK,1140,308,1948,0,0
20777,2015,1,2,DL,1753,SEA,ATL,1155,297,1952,0,0
20868,2015,1,2,DL,445,JFK,ATL,1155,158,1433,0,0
21080,2015,1,2,DL,1218,ATL,JFK,1241,111,1432,0,0
21854,2015,1,2,DL,2329,ATL,SEA,1306,329,1535,0,0
23526,2015,1,2,DL,128,SEA,ATL,1442,310,2252,0,0
24014,2015,1,2,DL,478,ATL,JFK,1532,125,1737,0,0
24413,2015,1,2,DL,447,JFK,ATL,1531,165,1816,0,0
24779,2015,1,2,DL,419,JFK,SEA,1552,415,1947,0,0
25852,2015,1,2,DL,109,ATL,SEA,1720,336,1956,0,0
26245,2015,1,2,DL,1419,ATL,JFK,1723,142,1945,0,0
26476,2015,1,2,B6,263,JFK,SEA,1735,398,2113,0,0
27131,2015,1,2,AS,745,ATL,SEA,1906,334,2140,0,0
27229,2015,1,2,DL,2510,JFK,ATL,1849,170,2139,0,0
27521,2015,1,2,AA,235,JFK,SEA,1946,410,2336,0,0
27833,2015,1,2,DL,425,JFK,SEA,1851,406,2237,0,0
28176,2015,1,2,DL,2635,ATL,SEA,1924,342,2206,0,0
29324,2015,1,2,DL,697,ATL,SEA,2047,322,2309,0,0
30047,2015,1,2,B6,264,SEA,JFK,2233,281,0614,0,0
30050,2015,1,2,DL,1750,ATL,JFK,2221,109,0010,0,0
30436,2015,1,2,DL,1421,SEA,ATL,2230,274,0604,0,0
30507,2015,1,2,DL,1542,SEA,JFK,2250,303,0653,0,0
30660,2015,1,2,DL,929,SEA,ATL,0008,283,0751,0,0
31175,2015,1,3,DL,421,JFK,ATL,0602,151,0833,0,0
31766,2015,1,3,DL,1598,SEA,ATL,0627,289,1416,0,0
32284,2015,1,3,DL,1661,SEA,JFK,0722,300,1522,0,0
32515,2015,1,3,AA,236,SEA,JFK,0709,313,1522,0,0
32989,2015,1,3,DL,968,SEA,ATL,0740,293,1533,0,0
33249,2015,1,3,DL,2031,JFK,ATL,0800,162,1042,0,0
33419,2015,1,3,DL,281,ATL,SEA,0820,301,1021,0,0
33750,2015,1,3,DL,479,JFK,ATL,0900,157,1137,0,0
34268,2015,1,3,DL,448,JFK,SEA,0900,392,1232,0,0
34671,2015,1,3,AS,746,SEA,ATL,0929,297,1726,0,0
34828,2015,1,3,DL,129,ATL,SEA,0939,343,1222,0,0
34908,2015,1,3,DL,108,SEA,ATL,0946,282,1728,0,0
34993,2015,1,3,DL,2352,ATL,JFK,0956,132,1208,0,0
36222,2015,1,3,DL,1284,ATL,SEA,1109,337,1346,0,0
36794,2015,1,3,DL,1473,SEA,JFK,1139,323,2002,0,0
37135,2015,1,3,DL,445,JFK,ATL,1158,158,1436,0,0
37169,2015,1,3,DL,1753,SEA,ATL,1222,284,2006,0,0
37316,2015,1,3,DL,1218,ATL,JFK,1213,121,1414,0,0
38032,2015,1,3,DL,2329,ATL,SEA,1302,314,1516,0,0
39574,2015,1,3,DL,128,SEA,ATL,1500,284,2244,0,0
40033,2015,1,3,DL,478,ATL,JFK,1611,120,1811,0,0
40681,2015,1,3,DL,447,JFK,ATL,1728,193,2041,0,0
40819,2015,1,3,DL,419,JFK,SEA,1653,397,2030,0,0
41719,2015,1,3,DL,109,ATL,SEA,1729,304,1933,0,0
42089,2015,1,3,DL,1419,ATL,JFK,2013,139,2232,0,0
42302,2015,1,3,B6,263,JFK,SEA,1806,410,2156,0,0
42905,2015,1,3,AS,745,ATL,SEA,1831,348,2119,0,0
42982,2015,1,3,DL,2510,JFK,ATL,1830,194,2144,0,0
43255,2015,1,3,AA,235,JFK,SEA,1908,409,2257,0,0
43778,2015,1,3,DL,430,JFK,SEA,1917,420,2317,0,0
43837,2015,1,3,DL,2635,ATL,SEA,1911,331,2142,0,0
45541,2015,1,3,B6,264,SEA,JFK,2252,284,0636,0,0
45545,2015,1,3,DL,1750,ATL,JFK,2217,136,0033,0,0
45893,2015,1,3,DL,1421,SEA,ATL,2317,270,0647,0,0
45964,2015,1,3,DL,1542,SEA,JFK,2255,306,0701,0,0
46617,2015,1,4,DL,421,JFK,ATL,0608,151,0839,0,0
47222,2015,1,4,DL,1598,SEA,ATL,0626,266,1352,0,0
47835,2015,1,4,DL,568,SEA,JFK,0731,318,1549,0,0
47956,2015,1,4,AA,236,SEA,JFK,0715,318,1533,0,0
48449,2015,1,4,DL,968,SEA,ATL,0744,271,1515,0,0
48880,2015,1,4,DL,281,ATL,SEA,0818,354,1112,0,0
49767,2015,1,4,DL,424,JFK,SEA,0906,388,1234,0,0
50193,2015,1,4,AS,746,SEA,ATL,1002,260,1722,0,0
50368,2015,1,4,DL,129,ATL,SEA,0942,341,1223,0,0
50451,2015,1,4,DL,108,SEA,ATL,0946,259,1705,0,0
50526,2015,1,4,DL,2352,ATL,JFK,0953,141,1214,0,0
51814,2015,1,4,DL,1284,ATL,SEA,1103,360,1403,0,0
52416,2015,1,4,DL,1473,SEA,JFK,1344,305,2149,0,0
52688,2015,1,4,DL,1753,SEA,ATL,1221,261,1942,0,0
52761,2015,1,4,DL,445,JFK,ATL,1302,154,1536,0,0
52962,2015,1,4,DL,1218,ATL,JFK,1206,134,1420,0,0
53724,2015,1,4,DL,2329,ATL,SEA,1307,352,1559,0,0
55363,2015,1,4,DL,128,SEA,ATL,1519,256,2235,0,0
55849,2015,1,4,DL,478,ATL,JFK,1610,170,1900,0,0
56249,2015,1,4,DL,447,JFK,ATL,1530,157,1807,0,0
56602,2015,1,4,DL,419,JFK,SEA,1601,378,1919,0,0
57660,2015,1,4,DL,109,ATL,SEA,1704,338,1942,0,0
58050,2015,1,4,DL,1419,ATL,JFK,1733,143,1956,0,0
58282,2015,1,4,B6,263,JFK,SEA,1745,397,2122,0,0
58936,2015,1,4,AS,745,ATL,SEA,1824,362,2126,0,0
59033,2015,1,4,DL,2510,JFK,ATL,2005,158,2243,0,0
59329,2015,1,4,AA,235,JFK,SEA,2120,431,0131,0,0
59639,2015,1,4,DL,425,JFK,SEA,1909,399,2248,0,0
59963,2015,1,4,DL,2635,ATL,SEA,1924,348,2212,0,0
61111,2015,1,4,DL,697,ATL,SEA,2034,337,2311,0,0
61844,2015,1,4,B6,264,SEA,JFK,2304,269,0633,0,0
61845,2015,1,4,DL,1750,ATL,JFK,2211,149,0040,0,0
62237,2015,1,4,DL,1421,SEA,ATL,2228,247,0535,0,0
62306,2015,1,4,DL,1542,SEA,JFK,2248,268,0616,0,0
62443,2015,1,4,DL,929,SEA,ATL,2355,251,0706,0,0
63221,2015,1,5,DL,421,JFK,ATL,0743,158,1021,0,0
63484,2015,1,5,DL,1131,SEA,ATL,0620,244,1324,0,0
64414,2015,1,5,DL,418,SEA,JFK,0710,282,1452,0,0
64456,2015,1,5,AA,236,SEA,JFK,0713,280,1453,0,0
65434,2015,1,5,DL,2177,ATL,SEA,0812,379,1131,0,0
65622,2015,1,5,DL,2352,ATL,JFK,0825,115,1020,0,0
65788,2015,1,5,DL,498,JFK,ATL,0908,149,1137,0,0
66303,2015,1,5,DL,405,JFK,SEA,0922,399,1301,0,0
66440,2015,1,5,DL,108,SEA,ATL,0905,253,1618,0,0
66769,2015,1,5,AS,746,SEA,ATL,1030,254,1744,0,0
68148,2015,1,5,DL,281,ATL,SEA,1105,347,1352,0,0
68591,2015,1,5,DL,173,SEA,JFK,1124,299,1923,0,0
69703,2015,1,5,DL,282,SEA,ATL,1246,253,1959,0,0
70262,2015,1,5,DL,129,ATL,SEA,1306,331,1537,0,0
70286,2015,1,5,DL,1465,ATL,JFK,1300,111,1451,0,0
71813,2015,1,5,DL,128,SEA,ATL,1449,243,2152,0,0
72716,2015,1,5,DL,478,ATL,JFK,1608,117,1805,0,0
72888,2015,1,5,DL,465,JFK,ATL,1555,160,1835,0,0
73398,2015,1,5,DL,419,JFK,SEA,1606,401,1947,0,0
73896,2015,1,5,DL,1760,ATL,SEA,1631,336,1907,0,0
74705,2015,1,5,DL,492,JFK,ATL,1817,140,2037,0,0
74981,2015,1,5,B6,263,JFK,SEA,1753,412,2145,0,0
75198,2015,1,5,DL,1419,ATL,JFK,1752,128,2000,0,0
75648,2015,1,5,AS,745,ATL,SEA,1856,347,2143,0,0
75723,2015,1,5,DL,443,JFK,SEA,1830,416,2226,0,0
76020,2015,1,5,AA,235,JFK,SEA,1921,419,2320,0,0
76732,2015,1,5,DL,109,ATL,SEA,1924,348,2212,0,0
76792,2015,1,5,DL,460,JFK,ATL,1941,152,2213,0,0
77885,2015,1,5,DL,1750,ATL,JFK,2042,124,2246,0,0
78458,2015,1,5,B6,264,SEA,JFK,2236,267,0603,0,0
78858,2015,1,5,DL,1542,SEA,JFK,2318,273,0651,0,0
78937,2015,1,5,DL,2188,SEA,ATL,2331,241,0632,0,0
79724,2015,1,6,DL,421,JFK,ATL,0606,153,0839,0,0
79955,2015,1,6,DL,1131,SEA,ATL,0614,247,1321,0,0
80600,2015,1,6,AA,236,SEA,JFK,0652,293,1445,0,0
80862,2015,1,6,DL,418,SEA,JFK,0712,371,1623,0,0
81808,2015,1,6,DL,2177,ATL,SEA,0809,320,1029,0,0
81962,2015,1,6,DL,2352,ATL,JFK,0819,133,1032,0,0
82137,2015,1,6,DL,2626,JFK,ATL,0830,197,1147,0,0
82668,2015,1,6,DL,405,JFK,SEA,0914,432,1326,0,0
82815,2015,1,6,DL,108,SEA,ATL,0905,256,1621,0,0
83110,2015,1,6,AS,746,SEA,ATL,0931,249,1640,0,0
84404,2015,1,6,DL,281,ATL,SEA,1100,318,1318,0,0
84835,2015,1,6,DL,173,SEA,JFK,1120,380,2040,0,0
85856,2015,1,6,DL,282,SEA,ATL,1228,252,1940,0,0
86411,2015,1,6,DL,129,ATL,SEA,1254,329,1523,0,0
86430,2015,1,6,DL,1465,ATL,JFK,1259,176,1555,0,0
87880,2015,1,6,DL,128,SEA,ATL,1430,242,2132,0,0
88734,2015,1,6,DL,478,ATL,JFK,1517,168,1805,0,0
88902,2015,1,6,DL,2219,JFK,ATL,1610,175,1905,0,0
89403,2015,1,6,DL,419,JFK,SEA,1632,427,2039,0,0
89863,2015,1,6,DL,1760,ATL,SEA,1629,327,1856,0,0
90658,2015,1,6,DL,492,JFK,ATL,1751,170,2041,0,0
90804,2015,1,6,B6,263,JFK,SEA,1751,389,2120,0,0
91147,2015,1,6,DL,1419,ATL,JFK,1818,146,2044,0,0
91542,2015,1,6,AS,745,ATL,SEA,1850,345,2135,0,0
91617,2015,1,6,DL,443,JFK,SEA,1933,413,2326,0,0
91858,2015,1,6,AA,235,JFK,SEA,1941,420,2341,0,0
92520,2015,1,6,DL,109,ATL,SEA,1936,334,2210,0,0
92573,2015,1,6,DL,460,JFK,ATL,2241,149,0110,0,0
93461,2015,1,6,DL,1750,ATL,JFK,2045,206,0011,0,0
93956,2015,1,6,B6,264,SEA,JFK,2212,280,0552,0,0
94229,2015,1,6,DL,1542,SEA,JFK,2256,317,0713,0,0
94272,2015,1,6,DL,2188,SEA,ATL,2312,247,0619,0,0
95026,2015,1,7,DL,421,JFK,ATL,0610,141,0831,0,0
95260,2015,1,7,DL,1131,SEA,ATL,0640,244,1344,0,0
95883,2015,1,7,AA,236,SEA,JFK,0653,295,1448,0,0
96145,2015,1,7,DL,418,SEA,JFK,0740,305,1545,0,0
97084,2015,1,7,DL,2177,ATL,SEA,0810,324,1034,0,0
97240,2015,1,7,DL,2352,ATL,JFK,0820,127,1027,0,0
97410,2015,1,7,DL,2338,JFK,ATL,0938,189,1247,0,0
97948,2015,1,7,DL,405,JFK,SEA,1014,387,1341,0,0
98095,2015,1,7,DL,968,SEA,ATL,0910,241,1611,0,0
98394,2015,1,7,AS,746,SEA,ATL,0930,250,1640,0,0
99692,2015,1,7,DL,281,ATL,SEA,1102,329,1331,0,0
100122,2015,1,7,DL,173,SEA,JFK,1115,292,1907,0,0
101166,2015,1,7,DL,282,SEA,ATL,1232,260,1952,0,0
101721,2015,1,7,DL,129,ATL,SEA,1319,332,1551,0,0
101737,2015,1,7,DL,1465,ATL,JFK,1256,136,1512,0,0
103208,2015,1,7,DL,128,SEA,ATL,1436,247,2143,0,0
104065,2015,1,7,DL,478,ATL,JFK,1523,129,1732,0,0
104229,2015,1,7,DL,465,JFK,ATL,1646,164,1930,0,0
104742,2015,1,7,DL,419,JFK,SEA,1612,363,1915,0,0
105210,2015,1,7,DL,1760,ATL,SEA,1652,332,1924,0,0
106043,2015,1,7,DL,492,JFK,ATL,1725,161,2006,0,0
106526,2015,1,7,DL,1419,ATL,JFK,1819,133,2032,0,0
106943,2015,1,7,AS,745,ATL,SEA,1807,343,2050,0,0
107980,2015,1,7,DL,109,ATL,SEA,1921,350,2211,0,0
108040,2015,1,7,DL,460,JFK,ATL,2036,150,2306,0,0
108952,2015,1,7,DL,1750,ATL,JFK,2051,158,2329,0,0
109479,2015,1,7,B6,264,SEA,JFK,2336,301,0737,0,0
109781,2015,1,7,DL,1542,SEA,JFK,2330,288,0718,0,0
109841,2015,1,7,DL,2188,SEA,ATL,2312,235,0607,0,0
110601,2015,1,8,DL,421,JFK,ATL,0605,124,0809,0,0
110831,2015,1,8,DL,1131,SEA,ATL,0618,288,1406,0,0
111462,2015,1,8,AA,236,SEA,JFK,0652,294,1446,0,0
111734,2015,1,8,DL,418,SEA,JFK,0712,292,1504,0,0
112687,2015,1,8,DL,2177,ATL,SEA,0815,349,1104,0,0
112865,2015,1,8,DL,2352,ATL,JFK,0824,118,1022,0,0
113054,2015,1,8,DL,2626,JFK,ATL,0939,146,1205,0,0
113725,2015,1,8,DL,108,SEA,ATL,0922,256,1638,0,0
114035,2015,1,8,AS,746,SEA,ATL,0940,266,1706,0,0
115380,2015,1,8,DL,281,ATL,SEA,1126,328,1354,0,0
115836,2015,1,8,DL,173,SEA,JFK,1131,324,1955,0,0
116900,2015,1,8,DL,282,SEA,ATL,1218,261,1939,0,0
117462,2015,1,8,DL,129,ATL,SEA,1302,318,1520,0,0
117478,2015,1,8,DL,1465,ATL,JFK,1259,129,1508,0,0
118978,2015,1,8,DL,128,SEA,ATL,1506,243,2209,0,0
119869,2015,1,8,DL,478,ATL,JFK,1527,135,1742,0,0
120044,2015,1,8,DL,465,JFK,ATL,1531,145,1756,0,0
120571,2015,1,8,DL,419,JFK,SEA,1600,370,1910,0,0
121041,2015,1,8,DL,1760,ATL,SEA,1638,330,1908,0,0
121880,2015,1,8,DL,492,JFK,ATL,1734,149,2003,0,0
122104,2015,1,8,B6,263,JFK,SEA,1732,397,2109,0,0
122376,2015,1,8,DL,1419,ATL,JFK,1743,137,2000,0,0
122809,2015,1,8,AS,745,ATL,SEA,1811,335,2046,0,0
122891,2015,1,8,DL,443,JFK,SEA,1818,395,2153,0,0
123152,2015,1,8,AA,235,JFK,SEA,1838,382,2200,0,0
123873,2015,1,8,DL,109,ATL,SEA,1937,335,2212,0,0
123971,2015,1,8,DL,460,JFK,ATL,1956,161,2237,0,0
124919,2015,1,8,DL,1750,ATL,JFK,2055,115,2250,0,0
125417,2015,1,8,B6,264,SEA,JFK,2205,292,0557,0,0
125773,2015,1,8,DL,1542,SEA,JFK,2244,280,0624,0,0
125840,2015,1,8,DL,2188,SEA,ATL,2321,244,0625,0,0
126608,2015,1,9,DL,421,JFK,ATL,0608,156,0844,0,0
126830,2015,1,9,DL,1131,SEA,ATL,0615,262,1337,0,0
127463,2015,1,9,AA,236,SEA,JFK,0702,323,1525,0,0
127737,2015,1,9,DL,418,SEA,JFK,0712,304,1516,0,0
128698,2015,1,9,DL,2177,ATL,SEA,0808,335,1043,0,0
128873,2015,1,9,DL,2352,ATL,JFK,0835,158,1113,0,0
129057,2015,1,9,DL,2626,JFK,ATL,1112,189,1421,0,0
129586,2015,1,9,DL,405,JFK,SEA,1111,403,1454,0,0
129730,2015,1,9,DL,968,SEA,ATL,0917,257,1634,0,0
130046,2015,1,9,AS,746,SEA,ATL,1023,250,1733,0,0
131388,2015,1,9,DL,281,ATL,SEA,1048,331,1319,0,0
131834,2015,1,9,DL,173,SEA,JFK,1133,304,1937,0,0
